,Tranche d'âge,En écoutant la radio ou des podcast,En regardant la TV (replay ou direct),En lisant un journal ou magazine,En vous connectant directement sur un site internet,En utilisant un moteur de recherche,En utilisant un portail d'actualité,En consultant les réseaux sociaux,En consultant les plateformes vidéo en ligne,Mode principal d'information
1327,45-59 ans,Jamais,Moins souvent,Jamais,Jamais,Moins souvent,Moins souvent,Jamais,Jamais,
1328,45-59 ans,Au moins une fois par mois,Au moins une fois par jour,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1329,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1330,45-59 ans,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,Jamais,Moins souvent,Jamais,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1331,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1332,15-17 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1333,25-34 ans,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1334,70 ans et +,Au moins une fois par semaine,Moins souvent,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Jamais,Au moins une fois par jour,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
1335,35-44 ans,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1336,35-44 ans,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
1337,70 ans et +,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1338,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Moins souvent,Au moins une fois par mois,Moins souvent,Au moins une fois par jour,Moins souvent,"En utilisant un moteur de recherche (Google, Safari, …)"
1339,60-69 ans,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1340,60-69 ans,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Moins souvent,Jamais,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1341,18-24 ans,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
1342,45-59 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1343,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
1344,35-44 ans,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1345,60-69 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Moins souvent,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1346,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
1347,60-69 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,"En utilisant un moteur de recherche (Google, Safari, …)"
1348,25-34 ans,Moins souvent,Au moins une fois par jour,Moins souvent,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1349,15-17 ans,Moins souvent,Jamais,Jamais,Jamais,Au moins une fois par jour,Jamais,Au moins une fois par jour,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1350,45-59 ans,Jamais,Jamais,Jamais,Jamais,Au moins une fois par mois,Jamais,Jamais,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
1351,45-59 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1352,45-59 ans,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1353,45-59 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par mois,Jamais,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1354,35-44 ans,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1355,25-34 ans,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
1356,35-44 ans,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1357,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1358,45-59 ans,Jamais,Au moins une fois par mois,Jamais,Jamais,Jamais,Au moins une fois par mois,Au moins une fois par mois,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1359,18-24 ans,Jamais,Jamais,Jamais,Jamais,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1360,25-34 ans,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
1361,60-69 ans,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1362,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1363,25-34 ans,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1364,18-24 ans,Jamais,Jamais,Jamais,Jamais,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par mois,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1365,60-69 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
1366,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Jamais,Jamais,Jamais,Jamais,Jamais,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1367,25-34 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
1368,60-69 ans,Moins souvent,Plusieurs fois par jour,Moins souvent,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1369,45-59 ans,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Plusieurs fois par jour,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1370,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,Moins souvent,Moins souvent,Moins souvent,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
1371,18-24 ans,Jamais,Au moins une fois par mois,Jamais,Jamais,Au moins une fois par semaine,Jamais,Au moins une fois par jour,Au moins une fois par mois,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1372,25-34 ans,Moins souvent,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1373,18-24 ans,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,
1374,18-24 ans,Jamais,Jamais,Jamais,Jamais,Au moins une fois par jour,Jamais,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1375,45-59 ans,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1376,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1377,35-44 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Jamais,Au moins une fois par semaine,Jamais,Jamais,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1378,18-24 ans,Jamais,Au moins une fois par jour,Jamais,Jamais,Au moins une fois par semaine,Au moins une fois par mois,Plusieurs fois par jour,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1379,60-69 ans,Jamais,Au moins une fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Moins souvent,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1380,35-44 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1381,70 ans et +,Moins souvent,Plusieurs fois par jour,Moins souvent,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1382,18-24 ans,Moins souvent,Moins souvent,Moins souvent,Jamais,Moins souvent,Jamais,Au moins une fois par mois,Jamais,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1383,25-34 ans,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
1384,60-69 ans,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
1385,45-59 ans,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Jamais,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1386,60-69 ans,Moins souvent,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
1387,25-34 ans,Jamais,Au moins une fois par jour,Jamais,Jamais,Plusieurs fois par jour,Jamais,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1388,25-34 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
1389,18-24 ans,Jamais,Au moins une fois par jour,Au moins une fois par mois,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1390,35-44 ans,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1391,18-24 ans,Moins souvent,Moins souvent,Jamais,Moins souvent,Plusieurs fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,"En utilisant un moteur de recherche (Google, Safari, …)"
1392,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Jamais,Jamais,Plusieurs fois par jour,Jamais,Au moins une fois par jour,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1393,60-69 ans,Jamais,Au moins une fois par jour,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1394,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Jamais,Moins souvent,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1395,60-69 ans,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Jamais,Au moins une fois par mois,Au moins une fois par jour,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1396,25-34 ans,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Jamais,Au moins une fois par semaine,Au moins une fois par mois,Au moins une fois par jour,Moins souvent,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1397,45-59 ans,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Moins souvent,Jamais,
1398,45-59 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1399,18-24 ans,Au moins une fois par jour,Moins souvent,Jamais,Jamais,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1400,70 ans et +,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,Jamais,Au moins une fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1401,60-69 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Jamais,Moins souvent,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
1402,18-24 ans,Au moins une fois par mois,Au moins une fois par jour,Moins souvent,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1403,25-34 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1404,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Moins souvent,Au moins une fois par semaine,Moins souvent,Moins souvent,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1405,45-59 ans,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Jamais,Jamais,"En utilisant un moteur de recherche (Google, Safari, …)"
1406,15-17 ans,Jamais,Au moins une fois par jour,Jamais,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,Moins souvent,Plusieurs fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1407,25-34 ans,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
1408,18-24 ans,Moins souvent,Au moins une fois par semaine,Jamais,Jamais,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
1409,70 ans et +,Au moins une fois par jour,Plusieurs fois par jour,Moins souvent,Jamais,Moins souvent,Jamais,Jamais,Jamais,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1410,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,"En utilisant un moteur de recherche (Google, Safari, …)"
1411,15-17 ans,Jamais,Moins souvent,Jamais,Moins souvent,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
1412,35-44 ans,Au moins une fois par jour,Jamais,Jamais,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,Jamais,Jamais,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
1413,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Moins souvent,Moins souvent,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1414,60-69 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par jour,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1415,45-59 ans,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Jamais,"En vous connectant directement sur le site ou l'application d'un média disponible uniquement sur Internet (Mediapart, H"
1416,60-69 ans,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Jamais,Moins souvent,Jamais,Au moins une fois par mois,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
1417,45-59 ans,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Plusieurs fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1418,25-34 ans,Au moins une fois par semaine,Plusieurs fois par jour,Jamais,Jamais,Plusieurs fois par jour,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par mois,"En utilisant un moteur de recherche (Google, Safari, …)"
1419,18-24 ans,Moins souvent,Plusieurs fois par jour,Jamais,Jamais,Moins souvent,Jamais,Au moins une fois par semaine,Au moins une fois par mois,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1420,70 ans et +,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Jamais,Au moins une fois par jour,Jamais,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
1421,60-69 ans,Moins souvent,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Plusieurs fois par jour,Jamais,Moins souvent,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
1422,60-69 ans,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1423,60-69 ans,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par semaine,Au moins une fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En utilisant un moteur de recherche (Google, Safari, …)"
1424,70 ans et +,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par jour,Au moins une fois par semaine,Au moins une fois par jour,Au moins une fois par semaine,"En utilisant un moteur de recherche (Google, Safari, …)"
1425,25-34 ans,Moins souvent,Moins souvent,Au moins une fois par jour,Jamais,Au moins une fois par semaine,Jamais,Moins souvent,Au moins une fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
1426,45-59 ans,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par jour,Au moins une fois par semaine,"En utilisant un portail d'actualité (Google actualité, Portail Orange, …)"
1427,45-59 ans,Moins souvent,Au moins une fois par jour,Moins souvent,Moins souvent,Au moins une fois par mois,Moins souvent,Au moins une fois par jour,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1428,35-44 ans,Plusieurs fois par jour,Moins souvent,Jamais,Jamais,Au moins une fois par jour,Moins souvent,Plusieurs fois par jour,Plusieurs fois par jour,"En consultant des plateformes de vidéo en ligne (Youtube,Twitch, …)"
1429,35-44 ans,Plusieurs fois par jour,Au moins une fois par jour,Moins souvent,Moins souvent,Au moins une fois par jour,Moins souvent,Au moins une fois par jour,Au moins une fois par jour,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1430,70 ans et +,Jamais,Au moins une fois par jour,Plusieurs fois par jour,Jamais,Moins souvent,Plusieurs fois par jour,Jamais,Jamais,"En lisant un journal ou un magazine, quel que soit le support (papier, smartphone, ordinateur, tablette)"
1431,18-24 ans,Au moins une fois par semaine,Au moins une fois par mois,Jamais,Au moins une fois par jour,Au moins une fois par mois,Au moins une fois par semaine,Au moins une fois par jour,Moins souvent,"En consultant des réseaux sociaux (Facebook, X (Twitter), TikTok, LinkedIn ...)"
1432,25-34 ans,Au moins une fois par jour,Moins souvent,Jamais,Jamais,Plusieurs fois par jour,Au moins une fois par mois,Plusieurs fois par jour,Moins souvent,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1433,45-59 ans,Plusieurs fois par jour,Jamais,Au moins une fois par semaine,Plusieurs fois par jour,Plusieurs fois par jour,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
1434,45-59 ans,Au moins une fois par semaine,Plusieurs fois par jour,Au moins une fois par semaine,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Jamais,Plusieurs fois par jour,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1435,25-34 ans,Au moins une fois par semaine,Au moins une fois par jour,Jamais,Au moins une fois par mois,Au moins une fois par semaine,Moins souvent,Au moins une fois par jour,Au moins une fois par semaine,"En regardant la télévision en direct ou en replay quel que soit le support (poste de télévision, ordinateur, tablett"
1436,45-59 ans,Au moins une fois par semaine,Jamais,Moins souvent,Plusieurs fois par jour,Au moins une fois par jour,Au moins une fois par jour,Jamais,Au moins une fois par mois,"En écoutant la radio ou des podcasts quel que soit le support (radio, auto-radio, smartphone...)"
